state_noise,coupling_noise,total_trials,mean_H_phi,mean_H_spectral_radius,mean_H_entropy,mean_memory_retention_ratio,survival_probability,topology_only_survival_probability,erased_probability
0.0,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.0,0.001,150,0.0,0.35605815532810453,0.3079423006608084,0.3822647866814973,0.6266666666666667,0.26666666666666666,0.14666666666666667
0.0,0.005,150,0.0,0.36144299978505073,0.29449999790084985,0.38803139705968753,0.6133333333333333,0.26,0.16
0.0,0.01,150,0.0,0.4115774064097595,0.32753904417709556,0.4418386452849048,0.7066666666666667,0.36,0.12666666666666668
0.0,0.025,150,0.0,0.3920491631642946,0.3191098693743805,0.4209097243949329,0.6933333333333334,0.32,0.10666666666666667
0.0,0.05,150,0.0,0.3971595697276457,0.31989843560938697,0.4264360236761521,0.7,0.2733333333333333,0.08666666666666667
0.0,0.1,150,0.0,0.36269471047285806,0.3339685171690002,0.3893974901511021,0.5733333333333334,0.3,0.2
0.0,0.2,150,0.0,0.32302441308659297,0.3353912005259133,0.3468587491709503,0.5666666666666667,0.19333333333333333,0.17333333333333334
0.001,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.001,0.001,150,0.0,0.36389055899498396,0.36506547451883825,0.39062656574496607,0.5933333333333334,0.26666666666666666,0.16666666666666666
0.001,0.005,150,0.0,0.3865585632219776,0.2849583980722232,0.41503885382148564,0.6733333333333333,0.32666666666666666,0.16666666666666666
0.001,0.01,150,0.0,0.371975004040521,0.30524234452267845,0.39941270364010956,0.6,0.2733333333333333,0.15333333333333332
0.001,0.025,150,0.0,0.3641119102622165,0.30194905441466025,0.39091407224797,0.62,0.2866666666666667,0.2
0.001,0.05,150,0.0,0.3701114715482474,0.3313930698934424,0.3972767936092722,0.6333333333333333,0.28,0.17333333333333334
0.001,0.1,150,0.0,0.37266749419313516,0.32325411702977297,0.4000696909720036,0.6,0.28,0.15333333333333332
0.001,0.2,150,0.0,0.3117017863188718,0.3138426782389631,0.3345502425308141,0.5866666666666667,0.18,0.22
0.005,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.005,0.001,150,0.0,0.3961213407584434,0.28448792398946177,0.42527348281844607,0.64,0.36,0.16
0.005,0.005,150,0.0,0.386741064262104,0.30180343323731856,0.41517737645084946,0.66,0.3333333333333333,0.12
0.005,0.01,150,0.0,0.4009789287822948,0.3011530651703527,0.43051982479782197,0.6533333333333333,0.3466666666666667,0.12666666666666668
0.005,0.025,150,0.0,0.4288314004419482,0.32998389489087593,0.4603808109567611,0.7,0.36,0.12
0.005,0.05,150,0.0,0.3731595266231397,0.3165292124610373,0.4006284120023375,0.6733333333333333,0.29333333333333333,0.16
0.005,0.1,150,0.0,0.3545610113714415,0.35300404923186063,0.3807261614866457,0.6133333333333333,0.2733333333333333,0.14
0.005,0.2,150,0.0,0.32750644648463756,0.31631640919782184,0.3516034535967096,0.6,0.20666666666666667,0.21333333333333335
0.01,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.01,0.001,150,0.0,0.35679263950620643,0.33363249469243844,0.38303762478902037,0.6,0.29333333333333333,0.15333333333333332
0.01,0.005,150,0.0,0.39345657014674057,0.3150407889716042,0.42242278200625377,0.6733333333333333,0.35333333333333333,0.16
