validation_sample_id,case_rank,case_category,model_name,gamma,state_noise,coupling_noise,repeat,initial_H_spectral_radius,memory_retention_ratio,memory_state,phi_forward,phi_backward,sync_forward,sync_backward,spectral_radius_forward,spectral_radius_backward,entropy_forward,entropy_backward,concentration_forward,concentration_backward,H_phi,H_sync,H_spectral_radius,H_entropy
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.0,0,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.0,1,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.0,2,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.0,3,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.0,4,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.001,0,0.9320907861190433,0.432873805351838,partial_topology_memory,0.0,0.0,0.0,0.0,4.142663153709695e-05,2.471190972209311e-05,1.8871787392987758,1.8636889977056919,5.056005800424741,5.286386038367359,0.0,0.0,0.40347768552116925,0.023489741593083924
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.001,1,0.9320907861190433,0.5449497342461437,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.8828239833419796e-05,1.4185147476072145e-05,2.2335286658349904,1.8289056461152615,3.0497747972044627,4.882778826656252,0.0,0.0,0.5079426261893967,0.4046230197197289
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.001,2,0.9320907861190433,0.5977071512696125,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.9509611304806368e-05,1.3069294932586244e-05,1.9718370608563887,1.6211843726517823,3.8522079639716744,4.322856062957172,0.0,0.0,0.5571173284964647,0.3506526882046064
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.001,3,0.9320907861190433,0.3122976209066477,partial_topology_memory,0.0,0.0,0.0,0.0,2.33241689883947e-05,3.290144102884271e-05,1.7884483131773883,1.893391700149301,4.8965253617596165,3.9849667371327278,0.0,0.0,0.2910897349742965,0.10494338697191274
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.001,4,0.9320907861190433,1.0152154790005086,topology_only_memory_survived,0.0,0.0,0.0,0.0,5.803375907813648e-05,3.117979181560297e-06,1.528979040469597,1.3113841801451087,5.995619872218966,6.818646707267478,0.0,0.0,0.9462729939028204,0.21759486032448838
