validation_sample_id,case_category,recommended_priority,model_name,direction_forward,gamma,alpha_index_forward,alpha,segment_initial_phi_forward,segment_peak_phi_forward,final_phi_forward,transport_retention_forward,final_sync_forward,final_energy_forward,initial_coupling_entropy_global_forward,segment_initial_coupling_entropy_forward,final_coupling_entropy_forward,coupling_entropy_drop_forward,final_coupling_spectral_radius_forward,coupling_concentration_forward,final_M_saturation_fraction_forward,final_C_saturation_fraction_forward,segment_M_saturation_max_forward,segment_C_saturation_max_forward,memory_regime_forward,direction_backward,alpha_index_backward,segment_initial_phi_backward,segment_peak_phi_backward,final_phi_backward,transport_retention_backward,final_sync_backward,final_energy_backward,initial_coupling_entropy_global_backward,segment_initial_coupling_entropy_backward,final_coupling_entropy_backward,coupling_entropy_drop_backward,final_coupling_spectral_radius_backward,coupling_concentration_backward,final_M_saturation_fraction_backward,final_C_saturation_fraction_backward,segment_M_saturation_max_backward,segment_C_saturation_max_backward,memory_regime_backward,H_phi,H_sync,H_entropy,H_spectral_radius,saturation_warning_forward,saturation_warning_backward,saturation_warning_any,memory_strength,hysteresis_detected,topology_only_memory_soft,topology_only_memory_strict,transport_memory_dominant,coupled_transport_topology_memory,low_memory,delta_final_phi_abs,delta_spectral_radius_abs,topology_only_score
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,self_reinforced_transport,C,neutral_coupling,forward,0.2,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439945488559541,2.4399455389330185,-5.037347694525352e-08,0.0001134626815543,1.7311246495484034,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,2,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4376347926592348,2.4380144660647005,-0.0003796734054657,0.0051994904116571,2.6597573114718944,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0019310728683179,0.9781781148633002,False,False,False,0.2479583942620435,True,True,True,False,False,False,0.0,0.0050860277301028,1.032911842673951
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.1,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0292269873102578,2.347284191955556,2.504489281618028,2.5264988636930896,-0.0220095820750616,0.006634672260574,1.9126669174258224,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,2,0.0,0.0,0.0,0.0,0.0,0.1231093202909203,2.347284191955556,2.5494279592299254,2.5232903548284984,0.0261376044014269,0.1193225384317411,1.7531389863123283,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0032085088645912,0.9443971579156958,False,False,False,0.2421392054453105,True,True,True,False,False,False,0.0,0.11268786617116709,1.0198409448979442
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.1,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0292269873102578,2.347284191955556,2.504489281618028,2.5264988636930896,-0.0220095820750616,0.006634672260574,1.9126669174258224,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,2,0.0,0.0,0.0,0.0,0.0,0.1231093202909203,2.347284191955556,2.5494279592299254,2.5232903548284984,0.0261376044014269,0.1193225384317411,1.7531389863123283,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0032085088645912,0.9443971579156958,False,False,False,0.2421392054453105,True,True,True,False,False,False,0.0,0.11268786617116709,1.0198409448979442
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,stable_synchronization_island,B,neutral_coupling,forward,0.2,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439254827264528,2.439923507565236,-0.0006686803007083,0.0104494475011347,1.7312200087170888,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339549502814,2.4380339996251865,-4.4674905108621494e-08,5.646418778390041e-05,2.6596429777546398,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0018895079400493,0.99459644265667,False,False,False,0.2499621358742515,True,True,True,False,False,False,0.0,0.0103929833133508,1.0138272118874392
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,self_reinforced_transport,C,neutral_coupling,forward,0.2,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439254827264528,2.439923507565236,-0.0006686803007083,0.0104494475011347,1.7312200087170888,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339549502814,2.4380339996251865,-4.4674905108621494e-08,5.646418778390041e-05,2.6596429777546398,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0018895079400493,0.99459644265667,False,False,False,0.2499621358742515,True,True,True,False,False,False,0.0,0.0103929833133508,1.0138272118874392
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,stable_synchronization_island,B,neutral_coupling,forward,0.2,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439254827264528,2.439923507565236,-0.0006686803007083,0.0104494475011347,1.7312200087170888,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339549502814,2.4380339996251865,-4.4674905108621494e-08,5.646418778390041e-05,2.6596429777546398,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0018895079400493,0.99459644265667,False,False,False,0.2499621358742515,True,True,True,False,False,False,0.0,0.0103929833133508,1.0138272118874392
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,self_reinforced_transport,C,neutral_coupling,forward,0.2,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439254827264528,2.439923507565236,-0.0006686803007083,0.0104494475011347,1.7312200087170888,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339549502814,2.4380339996251865,-4.4674905108621494e-08,5.646418778390041e-05,2.6596429777546398,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0018895079400493,0.99459644265667,False,False,False,0.2499621358742515,True,True,True,False,False,False,0.0,0.0103929833133508,1.0138272118874392
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,self_reinforced_transport,C,neutral_coupling,forward,0.2,0,0.0,0.0012438979875798,0.0031993981677805,0.0,0.0,0.0,0.0246859561023621,2.4288048348726483,2.4288048348726483,2.439254827264528,-0.0104499923918792,0.0473498239708537,1.733123405190775,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339996251865,2.4380340018160838,-2.1908967973160998e-09,1.2504095216581945e-05,2.659642122174424,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0012208254484442,0.9997359209566647,False,False,False,0.2505467253372054,True,True,True,False,False,False,0.0,0.04733731987563712,1.0071323706608069
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,stable_synchronization_island,B,neutral_coupling,forward,0.2,0,0.0,0.0012438979875798,0.0031993981677805,0.0,0.0,0.0,0.0246859561023621,2.4288048348726483,2.4288048348726483,2.439254827264528,-0.0104499923918792,0.0473498239708537,1.733123405190775,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339996251865,2.4380340018160838,-2.1908967973160998e-09,1.2504095216581945e-05,2.659642122174424,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0012208254484442,0.9997359209566647,False,False,False,0.2505467253372054,True,True,True,False,False,False,0.0,0.04733731987563712,1.0071323706608069
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,self_reinforced_transport,C,neutral_coupling,forward,0.2,0,0.0,0.0012438979875798,0.0031993981677805,0.0,0.0,0.0,0.0246859561023621,2.4288048348726483,2.4288048348726483,2.439254827264528,-0.0104499923918792,0.0473498239708537,1.733123405190775,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339996251865,2.4380340018160838,-2.1908967973160998e-09,1.2504095216581945e-05,2.659642122174424,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0012208254484442,0.9997359209566647,False,False,False,0.2505467253372054,True,True,True,False,False,False,0.0,0.04733731987563712,1.0071323706608069
