combined_noise_radius,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.001,300,4,1.036319461203549,0.7475464737275412,0.7475464737275412,topology_only_memory_survived,0.6333333333333333,0.07333333333333333,0.11333333333333333,0.18,0.6333333333333333
0.001414213562373095,150,4,1.3590822929089015,0.9803706420698369,0.9803706420698369,partial_topology_memory,0.32666666666666666,0.16666666666666666,0.24,0.32666666666666666,0.26666666666666666
0.005,300,4,1.0461651178900842,0.7546486137655211,0.7546486137655211,topology_only_memory_survived,0.63,0.08,0.11333333333333333,0.17666666666666667,0.63
0.005099019513592785,300,4,1.3352787131797863,0.9631999888545372,0.9631999888545372,topology_only_memory_survived,0.3433333333333333,0.16333333333333333,0.18,0.31333333333333335,0.3433333333333333
0.007071067811865475,150,4,1.3192233871005703,0.9516185191973671,0.9516185191973671,topology_only_memory_survived,0.3333333333333333,0.12,0.22,0.32666666666666666,0.3333333333333333
0.01,300,4,0.9478578468684619,0.6837349075724102,0.6837349075724102,topology_only_memory_survived,0.68,0.06333333333333334,0.08333333333333333,0.17333333333333334,0.68
0.01004987562112089,300,4,1.3542425325250835,0.9768794929174244,0.9768794929174244,partial_topology_memory,0.31666666666666665,0.15333333333333332,0.24666666666666667,0.31666666666666665,0.2833333333333333
0.011180339887498949,300,4,1.327206321701415,0.9573769892775568,0.9573769892775568,topology_only_memory_survived,0.35,0.14333333333333334,0.19333333333333333,0.31333333333333335,0.35
0.01414213562373095,150,4,1.321298191091239,0.9531151739114442,0.9531151739114442,partial_topology_memory,0.3466666666666667,0.14,0.18666666666666668,0.3466666666666667,0.32666666666666666
0.025,300,4,0.974136115441576,0.7026906714492003,0.7026906714492003,topology_only_memory_survived,0.66,0.05333333333333334,0.1,0.18666666666666668,0.66
0.02501999200639361,300,4,1.3377007626375923,0.9649471282253194,0.9649471282253194,topology_only_memory_survived,0.3233333333333333,0.14333333333333334,0.21333333333333335,0.32,0.3233333333333333
0.025495097567963927,300,4,1.319761261772905,0.9520065137585657,0.9520065137585657,partial_topology_memory,0.3333333333333333,0.12333333333333334,0.21333333333333335,0.3333333333333333,0.33
0.026925824035672525,300,4,1.2775933101509382,0.921588766413837,0.921588766413837,topology_only_memory_survived,0.37333333333333335,0.10666666666666667,0.17333333333333334,0.3466666666666667,0.37333333333333335
0.03535533905932738,150,4,1.222661018605074,0.8819634941148944,0.8819634941148944,partial_topology_memory,0.3933333333333333,0.05333333333333334,0.22,0.3933333333333333,0.3333333333333333
0.05,300,4,0.9917803658944793,0.7154183077635035,0.7154183077635035,topology_only_memory_survived,0.6366666666666667,0.043333333333333335,0.10666666666666667,0.21333333333333335,0.6366666666666667
