state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass
0.0,0.0,0.0,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.0,0.001,0.001,150,40,0.26666666666666666,54,0.36,34,0.22666666666666666,22,0.14666666666666667,partial_topology_memory,0.36,1.3382385708305178,0.965335074831761,0.4177777777777778,0.6266666666666667,0.14666666666666667,0.5866666666666667
0.0,0.005,0.005,150,39,0.26,53,0.35333333333333333,34,0.22666666666666666,24,0.16,partial_topology_memory,0.35333333333333333,1.3474757915454636,0.9719983210902855,0.4288888888888889,0.6133333333333333,0.16,0.58
0.0,0.01,0.01,150,54,0.36,52,0.3466666666666667,25,0.16666666666666666,19,0.12666666666666668,topology_only_memory_survived,0.36,1.295394973385773,0.9344299520480728,0.3533333333333333,0.7066666666666667,0.12666666666666668,0.5133333333333333
0.0,0.025,0.025,150,48,0.32,56,0.37333333333333335,30,0.2,16,0.10666666666666667,partial_topology_memory,0.37333333333333335,1.293070732693267,0.9327533667876174,0.3644444444444445,0.6933333333333334,0.10666666666666667,0.5733333333333334
0.0,0.05,0.05,150,41,0.2733333333333333,64,0.4266666666666667,32,0.21333333333333335,13,0.08666666666666667,partial_topology_memory,0.4266666666666667,1.2594828767196766,0.9085248501640216,0.3711111111111111,0.7,0.08666666666666667,0.64
0.0,0.1,0.1,150,45,0.3,41,0.2733333333333333,34,0.22666666666666666,30,0.2,topology_only_memory_survived,0.3,1.3740456536872214,0.9911644252647942,0.4422222222222223,0.5733333333333333,0.2,0.5
0.0,0.2,0.2,150,29,0.19333333333333333,56,0.37333333333333335,39,0.26,26,0.17333333333333334,partial_topology_memory,0.37333333333333335,1.33956404117365,0.9662911995772021,0.4711111111111111,0.5666666666666667,0.17333333333333334,0.6333333333333333
0.001,0.0,0.001,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.001,0.001,0.001414213562373095,150,40,0.26666666666666666,49,0.32666666666666666,36,0.24,25,0.16666666666666666,partial_topology_memory,0.32666666666666666,1.3590822929089015,0.9803706420698369,0.43555555555555553,0.5933333333333333,0.16666666666666666,0.5666666666666667
0.001,0.005,0.005099019513592785,150,49,0.32666666666666666,52,0.3466666666666667,24,0.16,25,0.16666666666666666,partial_topology_memory,0.3466666666666667,1.3245749239381848,0.9554788370257475,0.3888888888888889,0.6733333333333333,0.16666666666666666,0.5066666666666667
0.001,0.01,0.01004987562112089,150,41,0.2733333333333333,49,0.32666666666666666,37,0.24666666666666667,23,0.15333333333333332,partial_topology_memory,0.32666666666666666,1.3527954335862284,0.9758356316860435,0.42666666666666675,0.6,0.15333333333333332,0.5733333333333334
0.001,0.025,0.02501999200639361,150,43,0.2866666666666667,50,0.3333333333333333,27,0.18,30,0.2,partial_topology_memory,0.3333333333333333,1.3549268135748422,0.977373097355955,0.43111111111111106,0.62,0.2,0.5133333333333333
0.001,0.05,0.05000999900019996,150,42,0.28,53,0.35333333333333333,29,0.19333333333333333,26,0.17333333333333334,partial_topology_memory,0.35333333333333333,1.345504064467388,0.9705760206515224,0.41999999999999993,0.6333333333333333,0.17333333333333334,0.5466666666666666
0.001,0.1,0.10000499987500626,150,42,0.28,48,0.32,37,0.24666666666666667,23,0.15333333333333332,partial_topology_memory,0.32,1.3538346125916758,0.9765852408849208,0.42444444444444446,0.6000000000000001,0.15333333333333332,0.5666666666666667
0.001,0.2,0.20000249998437522,150,27,0.18,61,0.4066666666666667,29,0.19333333333333333,33,0.22,partial_topology_memory,0.4066666666666667,1.3253870961316527,0.9560646954236797,0.4844444444444444,0.5866666666666667,0.22,0.6
0.005,0.0,0.005,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.005,0.001,0.005099019513592785,150,54,0.36,42,0.28,30,0.2,24,0.16,topology_only_memory_survived,0.36,1.3393254550256717,0.9661190960509455,0.38666666666666666,0.64,0.16,0.48000000000000004
0.005,0.005,0.007071067811865475,150,50,0.3333333333333333,49,0.32666666666666666,33,0.22,18,0.12,topology_only_memory_survived,0.3333333333333333,1.3192233871005703,0.9516185191973671,0.3755555555555556,0.6599999999999999,0.12,0.5466666666666666
0.005,0.01,0.011180339887498949,150,52,0.3466666666666667,46,0.30666666666666664,33,0.22,19,0.12666666666666668,topology_only_memory_survived,0.3466666666666667,1.324560175847664,0.9554681985272191,0.3755555555555556,0.6533333333333333,0.12666666666666668,0.5266666666666666
0.005,0.025,0.025495097567963927,150,54,0.36,51,0.34,27,0.18,18,0.12,topology_only_memory_survived,0.36,1.297685075378527,0.9360819114421108,0.3533333333333333,0.7,0.12,0.52
0.005,0.05,0.05024937810560445,150,44,0.29333333333333333,57,0.38,25,0.16666666666666666,24,0.16,partial_topology_memory,0.38,1.3192789360360653,0.9516585892842497,0.39777777777777773,0.6733333333333333,0.16,0.5466666666666666
0.005,0.1,0.10012492197250394,150,41,0.2733333333333333,51,0.34,37,0.24666666666666667,21,0.14,partial_topology_memory,0.34,1.341845321003953,0.9679367951262311,0.4177777777777778,0.6133333333333333,0.14,0.5866666666666667
