axis,survival_below_0p80,survival_below_0p70,survival_below_0p60,erasure_above_0p10,erasure_above_0p15,erasure_above_0p20,degradation_above_0p40,degradation_above_0p50,entropy_above_0p90,survival_slope,erasure_slope,degradation_slope,boundary_thickness_slope
coupling_noise_axis,0.001,0.001,0.1,0.001,0.1,,0.001,,0.001,-0.9021352704053383,0.45297913913063687,0.959238335605375,0.880117827576672
state_noise_axis,0.0,0.0,,0.0,0.001,,,,,-0.1440019966291611,0.026364414112604716,0.08400040192942562,0.1305788529343614
combined_noise_radius_axis,0.001414213562373,0.001414213562373,0.001414213562373,0.001414213562373,0.001414213562373,0.2000024999843752,0.001414213562373,,0.001414213562373,-0.6076990909432448,0.2829918188185581,0.6010365818817046,0.5555591093687597
