phase14_basin_class,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
coupled_memory_basin,599,4,1.3264147039714378,0.9568059577908979,0.9568059577908979,topology_only_memory_survived,0.35058430717863104,0.14023372287145242,0.19699499165275458,0.3121869782971619,0.35058430717863104
erased_basin,16,4,1.103432909638192,0.7959585933443497,0.7959585933443497,topology_only_memory_survived,0.5625,0.125,0.0625,0.25,0.5625
stable_coupled_memory_basin,20,3,1.0670938948757507,0.9713107216099229,0.7697455351500672,topology_only_memory_survived,0.45,0.0,0.25,0.3,0.45
stable_topology_only_basin,2,2,0.6931471805599453,1.0,0.5,topology_only_memory_survived,0.5,0.0,0.5,0.0,0.5
topology_only_basin,309,4,1.3253488053610585,0.9560370744712555,0.9560370744712555,topology_only_memory_survived,0.3300970873786408,0.1262135922330097,0.22006472491909385,0.32362459546925565,0.3300970873786408
transition_basin,400,4,1.2839776587964389,0.926194100478922,0.926194100478922,topology_only_memory_survived,0.38,0.12,0.1625,0.3375,0.38
transport_dominant_basin,82,4,1.2638117563921525,0.9116474767820646,0.9116474767820646,topology_only_memory_survived,0.36585365853658536,0.07317073170731707,0.23170731707317074,0.32926829268292684,0.36585365853658536
,8172,4,1.3137711614036387,0.9476855697099817,0.9476855697099817,topology_only_memory_survived,0.3762848751835536,0.13093489965736663,0.19566813509544786,0.29711209006363193,0.3762848751835536
